"id","adcode","name","city_id:id","district_id:id"
"town_cn_110119_17","110119","康庄镇","city_cn_110100","district_cn_110119"
"town_cn_110119_18","110119","旧县镇","city_cn_110100","district_cn_110119"
"town_cn_120101_01","120101","小白楼街道","city_cn_120100","district_cn_120101"
"town_cn_120101_02","120101","劝业场街道","city_cn_120100","district_cn_120101"
"town_cn_120101_03","120101","南营门街道","city_cn_120100","district_cn_120101"
"town_cn_120101_04","120101","五大道街道","city_cn_120100","district_cn_120101"
"town_cn_120101_05","120101","新兴街道","city_cn_120100","district_cn_120101"
"town_cn_120101_06","120101","南市街道","city_cn_120100","district_cn_120101"
"town_cn_120102_01","120102","春华街道","city_cn_120100","district_cn_120102"
"town_cn_120102_02","120102","上杭路街道","city_cn_120100","district_cn_120102"
"town_cn_120102_03","120102","常州道街道","city_cn_120100","district_cn_120102"
"town_cn_120102_04","120102","中山门街道","city_cn_120100","district_cn_120102"
"town_cn_120102_05","120102","富民路街道","city_cn_120100","district_cn_120102"
"town_cn_120102_06","120102","二号桥街道","city_cn_120100","district_cn_120102"
"town_cn_120102_07","120102","东新街道","city_cn_120100","district_cn_120102"
"town_cn_120102_08","120102","鲁山道街道","city_cn_120100","district_cn_120102"
"town_cn_120102_09","120102","大王庄街道","city_cn_120100","district_cn_120102"
"town_cn_120102_10","120102","向阳楼街道","city_cn_120100","district_cn_120102"
"town_cn_120102_11","120102","唐家口街道","city_cn_120100","district_cn_120102"
"town_cn_120102_12","120102","大直沽街道","city_cn_120100","district_cn_120102"
"town_cn_120103_01","120103","东海街道","city_cn_120100","district_cn_120103"
"town_cn_120103_02","120103","下瓦房街道","city_cn_120100","district_cn_120103"
"town_cn_120103_03","120103","桃园街道","city_cn_120100","district_cn_120103"
"town_cn_120103_04","120103","马场街道","city_cn_120100","district_cn_120103"
"town_cn_120103_05","120103","友谊路街道","city_cn_120100","district_cn_120103"
"town_cn_120103_06","120103","陈塘庄街道","city_cn_120100","district_cn_120103"
